bill_id,user_id,bill_type,bill_amount,due_date,payment_date,payment_mode,days_before_after_due,is_on_time,month,year
BILL_0000001,USR_00001,electricity,2306.13,2025-01-08,2025-01-29,upi,21.0,False,1,2025
BILL_0000002,USR_00001,electricity,2678.18,2025-02-17,2025-02-14,upi,-3.0,True,2,2025
BILL_0000003,USR_00001,electricity,2724.06,2025-03-21,2025-04-07,upi,17.0,False,3,2025
BILL_0000004,USR_00001,electricity,2231.91,2025-04-15,2025-04-13,upi,-2.0,True,4,2025
BILL_0000005,USR_00001,electricity,2229.13,2025-05-10,2025-05-07,upi,-3.0,True,5,2025
BILL_0000006,USR_00001,electricity,2851.69,2025-06-23,2025-07-19,upi,26.0,False,6,2025
BILL_0000007,USR_00001,electricity,2513.72,2025-07-21,2025-07-21,auto_debit,0.0,True,7,2025
BILL_0000008,USR_00001,electricity,2531.19,2025-08-20,2025-08-20,auto_debit,0.0,True,8,2025
BILL_0000009,USR_00001,electricity,2920.36,2025-09-05,2025-09-04,upi,-1.0,True,9,2025
BILL_0000010,USR_00001,electricity,2394.6,2025-10-15,2025-10-13,upi,-2.0,True,10,2025
BILL_0000011,USR_00001,electricity,2776.23,2025-11-11,2025-11-20,upi,9.0,False,11,2025
BILL_0000012,USR_00001,electricity,2873.82,2025-12-07,2025-12-03,auto_debit,-4.0,True,12,2025
BILL_0000013,USR_00001,rent,18677.59,2025-01-12,2025-01-11,cash,-1.0,True,1,2025
BILL_0000014,USR_00001,rent,18012.17,2025-02-12,2025-02-10,cash,-2.0,True,2,2025
BILL_0000015,USR_00001,rent,20811.79,2025-03-10,2025-03-07,auto_debit,-3.0,True,3,2025
BILL_0000016,USR_00001,rent,16796.61,2025-04-21,2025-04-17,auto_debit,-4.0,True,4,2025
BILL_0000017,USR_00001,rent,17018.15,2025-05-19,2025-05-18,upi,-1.0,True,5,2025
BILL_0000018,USR_00001,rent,22820.18,2025-06-11,2025-06-06,upi,-5.0,True,6,2025
BILL_0000019,USR_00001,rent,20227.24,2025-07-10,2025-07-06,auto_debit,-4.0,True,7,2025
BILL_0000020,USR_00001,rent,20137.61,2025-08-09,2025-08-07,upi,-2.0,True,8,2025
BILL_0000021,USR_00001,rent,18901.02,2025-09-12,2025-09-29,auto_debit,17.0,False,9,2025
BILL_0000022,USR_00001,rent,19568.73,2025-10-13,2025-10-09,auto_debit,-4.0,True,10,2025
BILL_0000023,USR_00001,rent,22093.8,2025-11-07,2025-11-15,auto_debit,8.0,False,11,2025
BILL_0000024,USR_00001,rent,18583.62,2025-12-24,2025-12-31,cash,7.0,False,12,2025
BILL_0000025,USR_00001,broadband,1500.14,2025-01-16,2025-01-15,upi,-1.0,True,1,2025
BILL_0000026,USR_00001,broadband,1837.86,2025-02-11,2025-02-26,cash,15.0,False,2,2025
BILL_0000027,USR_00001,broadband,1485.89,2025-03-13,2025-03-09,cash,-4.0,True,3,2025
BILL_0000028,USR_00001,broadband,1531.21,2025-04-20,2025-04-20,upi,0.0,True,4,2025
BILL_0000029,USR_00001,broadband,1791.78,2025-05-22,2025-05-22,auto_debit,0.0,True,5,2025
BILL_0000030,USR_00001,broadband,1729.11,2025-06-17,2025-06-17,upi,0.0,True,6,2025
BILL_0000031,USR_00001,broadband,1730.16,2025-07-17,2025-07-17,upi,0.0,True,7,2025
BILL_0000032,USR_00001,broadband,1533.55,2025-08-20,2025-08-20,upi,0.0,True,8,2025
BILL_0000033,USR_00001,broadband,1507.96,2025-09-08,2025-09-26,upi,18.0,False,9,2025
BILL_0000034,USR_00001,broadband,1621.73,2025-10-15,2025-10-10,upi,-5.0,True,10,2025
BILL_0000035,USR_00001,broadband,1618.1,2025-11-22,2025-11-17,auto_debit,-5.0,True,11,2025
BILL_0000036,USR_00001,broadband,1445.54,2025-12-20,2025-12-20,upi,0.0,True,12,2025
BILL_0000037,USR_00001,mobile_recharge,762.63,2025-01-17,2025-01-30,upi,13.0,False,1,2025
BILL_0000038,USR_00001,mobile_recharge,572.18,2025-02-08,2025-02-07,upi,-1.0,True,2,2025
BILL_0000039,USR_00001,mobile_recharge,751.58,2025-03-15,2025-03-24,upi,9.0,False,3,2025
BILL_0000040,USR_00001,mobile_recharge,605.53,2025-04-13,2025-04-13,cash,0.0,True,4,2025
BILL_0000041,USR_00001,mobile_recharge,852.25,2025-05-17,2025-05-15,upi,-2.0,True,5,2025
BILL_0000042,USR_00001,mobile_recharge,751.16,2025-06-11,2025-06-12,upi,1.0,False,6,2025
BILL_0000043,USR_00001,mobile_recharge,543.83,2025-07-14,2025-07-10,auto_debit,-4.0,True,7,2025
BILL_0000044,USR_00001,mobile_recharge,772.61,2025-08-20,2025-08-17,auto_debit,-3.0,True,8,2025
BILL_0000045,USR_00001,mobile_recharge,822.54,2025-09-07,2025-09-04,upi,-3.0,True,9,2025
BILL_0000046,USR_00001,mobile_recharge,574.88,2025-10-10,2025-10-09,auto_debit,-1.0,True,10,2025
BILL_0000047,USR_00001,mobile_recharge,862.68,2025-11-11,2025-11-06,cash,-5.0,True,11,2025
BILL_0000048,USR_00001,mobile_recharge,803.18,2025-12-06,2025-12-03,upi,-3.0,True,12,2025
BILL_0000049,USR_00001,dth,881.17,2025-01-17,2025-01-12,upi,-5.0,True,1,2025
BILL_0000050,USR_00001,dth,801.31,2025-02-12,2025-02-12,upi,0.0,True,2,2025
BILL_0000051,USR_00001,dth,793.33,2025-03-15,2025-03-10,upi,-5.0,True,3,2025
BILL_0000052,USR_00001,dth,750.58,2025-04-20,2025-04-17,upi,-3.0,True,4,2025
BILL_0000053,USR_00001,dth,932.61,2025-05-05,2025-05-04,upi,-1.0,True,5,2025
