engagement_id,user_id,module_id,topic_category,quiz_score,completion_flag,time_spent_seconds,attempts,difficulty_level,session_timestamp,language_used
ENG_000001,USR_00001,LIT_002,loans,81,True,723,1,4,2025-07-08T00:00:00,mr
ENG_000002,USR_00001,LIT_001,credit,85,True,625,1,3,2025-07-14T00:00:00,mr
ENG_000003,USR_00001,LIT_005,budgeting,95,True,703,1,3,2025-08-05T00:00:00,en
ENG_000004,USR_00001,LIT_003,savings,68,True,488,3,2,2025-08-12T00:00:00,mr
ENG_000005,USR_00001,LIT_004,upi_safety,62,True,311,1,2,2025-07-27T00:00:00,mr
ENG_000006,USR_00002,LIT_001,credit,77,False,563,1,3,2025-07-01T00:00:00,kn
ENG_000007,USR_00002,LIT_003,savings,28,True,478,3,2,2025-07-17T00:00:00,kn
ENG_000008,USR_00002,LIT_004,upi_safety,63,True,621,2,2,2025-07-19T00:00:00,en
ENG_000009,USR_00003,LIT_006,interest_rates,69,True,403,1,4,2025-07-06T00:00:00,en
ENG_000010,USR_00003,LIT_001,credit,100,False,249,1,3,2025-07-22T00:00:00,kn
ENG_000011,USR_00003,LIT_003,savings,67,True,799,2,2,2025-07-27T00:00:00,en
ENG_000012,USR_00003,LIT_002,loans,56,True,356,1,4,2025-08-01T00:00:00,en
ENG_000013,USR_00004,LIT_001,credit,65,True,501,1,3,2025-07-13T00:00:00,ta
ENG_000014,USR_00004,LIT_005,budgeting,69,True,393,2,3,2025-07-19T00:00:00,en
ENG_000015,USR_00004,LIT_003,savings,69,True,824,3,2,2025-07-15T00:00:00,ta
ENG_000016,USR_00004,LIT_006,interest_rates,78,True,770,1,4,2025-08-15T00:00:00,en
ENG_000017,USR_00004,LIT_002,loans,79,True,402,1,4,2025-07-23T00:00:00,en
ENG_000018,USR_00004,LIT_004,upi_safety,70,True,479,2,2,2025-08-06T00:00:00,ta
ENG_000019,USR_00005,LIT_001,credit,87,True,442,1,3,2025-07-14T00:00:00,hi
ENG_000020,USR_00005,LIT_002,loans,65,True,1045,3,4,2025-07-11T00:00:00,hi
ENG_000021,USR_00005,LIT_006,interest_rates,73,True,776,1,4,2025-07-12T00:00:00,hi
ENG_000022,USR_00005,LIT_004,upi_safety,95,True,670,1,2,2025-07-29T00:00:00,hi
ENG_000023,USR_00005,LIT_005,budgeting,58,True,298,1,3,2025-07-22T00:00:00,en
ENG_000024,USR_00005,LIT_003,savings,71,True,657,1,2,2025-08-01T00:00:00,en
ENG_000025,USR_00006,LIT_004,upi_safety,84,False,689,1,2,2025-07-14T00:00:00,mr
ENG_000026,USR_00006,LIT_005,budgeting,66,False,654,1,3,2025-07-20T00:00:00,en
ENG_000027,USR_00006,LIT_001,credit,58,True,229,2,3,2025-07-29T00:00:00,en
ENG_000028,USR_00006,LIT_002,loans,72,True,552,1,4,2025-08-01T00:00:00,en
ENG_000029,USR_00007,LIT_002,loans,73,True,665,1,4,2025-07-11T00:00:00,mr
ENG_000030,USR_00007,LIT_006,interest_rates,58,True,461,2,4,2025-07-13T00:00:00,mr
